"","OPR"
"frc892",11.7626835602779
"frc936",14.3991000441429
"frc31",14.1811098278032
"frc876",8.09505909817088
"frc969",11.3659347405301
"frc476",12.5674019735062
"frc967",15.7506111334989
"frc874",19.2386670171083
"frc934",19.9002140491769
"frc931",7.83984441750481
"frc807",17.5860669199197
"frc933",18.9362818190047
"frc943",18.8807496624663
"frc982",11.4532926597471
"frc906",16.8347097089649
"frc935",15.4622682975182
"frc932",17.0855496589354
"frc770",22.4768205741606
"frc873",10.5580879114001
"frc765",11.1564782871775
"frc525",15.3464143802276
"frc938",16.4118269384541
"frc462",18.7420860179935
"frc879",17.8071440099758
"frc877",12.740054626631
"frc880",25.6206370067395
"frc939",9.3689934004464
"frc875",13.5368032140139
"frc81",8.27282866945544
"frc878",6.18660884969517
"frc662",13.0861913543251
"frc909",6.52100719054546
"frc937",7.62486198653053
"frc755",9.14684430697526
"frc34",16.1695818611995
"frc764",20.3537069804933
"frc16",20.2971653525138
"frc940",19.2787694183123
"frc869",13.6283276741495
"frc881",13.070708757004
"frc941",18.4709616501294
"frc356",13.4642522315963
"frc382",13.0438967678427
"frc383",9.18883834711626
"frc291",10.5585317955895
"frc165",16.6417639167134
"frc609",9.74151379413584
"frc955",11.3656389662535
"frc378",16.6779510495983
"frc159",13.8429156620472
"frc84",20.0677559553642
"frc276",14.9447904461023
"frc174",13.8173074295396
"frc753",17.6028253741242
"frc400",21.6327765426747
"frc781",16.2608690107449
"frc752",12.9884389141087
"frc540",13.5863482189425
"frc954",14.5509014183047
"frc541",13.1970896328388
"frc384",9.62572538751974
"frc75",12.7670995258173
"frc365",8.54818877735594
"frc398",16.7289124648226
"frc374",10.083512235212
"frc522",9.29342870179807
"frc714",13.6542763378178
"frc284",17.8014792148998
"frc281",19.3186447767606
"frc158",18.4553212578231
"frc568",16.2490601640685
"frc964",17.5609344676509
"frc7",15.1793345461449
"frc339",12.2165310034355
"frc102",17.8684752555686
"frc529",7.06167422499046
"frc303",13.8033698359582
"frc885",13.7799403841914
"frc211",6.90464021854732
"frc203",14.1708833724172
"frc613",10.4918314388671
"frc663",13.4664419103075
"frc637",10.661653839987
"frc219",14.7518351854
"frc209",9.01599047918064
"frc223",15.3433347921862
"frc11",15.8724464427925
"frc551",10.0056380806066
"frc555",18.5965120310678
"frc550",15.6383030517356
"frc549",12.7685804893862
"frc679",10.4571182442693
"frc335",14.9137042510865
"frc574",5.67567775086721
"frc694",7.07368402387744
"frc354",10.3724323238762
"frc421",14.3537892360017
"frc640",21.878859788722
"frc340",19.6328601801346
"frc331",14.2654405966582
"frc759",13.9068417092394
"frc19",4.89964632516297
"frc743",11.571492645964
"frc639",7.05977312480029
"frc371",17.5595186512136
"frc711",6.97220568576524
"frc334",14.3755961768589
"frc333",16.0722056857652
"frc806",15.9877938580981
"frc655",13.064368249084
"frc887",17.9302803795205
"frc375",17.1035899450091
"frc380",25.5416639839429
"frc713",22.8787895319241
"frc896",5.52465045036062
"frc41",11.234189219655
"frc859",19.7071169666251
"frc234",15.797869342376
"frc48",16.5932697104452
"frc872",8.34336474784421
"frc963",13.6126244997114
"frc448",7.25606973389361
"frc191",12.866640606513
"frc642",16.1880381720777
"frc695",16.2149922684214
"frc117",16.5475688937987
"frc652",17.9711012826165
"frc254",14.1065485931007
"frc306",14.8695878760722
"frc229",7.11192631843085
"frc578",11.4413013056217
"frc883",13.7425366846004
"frc970",15.1252734601807
"frc979",11.906127268874
"frc120",11.4291841576575
"frc966",11.6513554696257
"frc779",22.3999991857696
"frc829",21.5192019543977
"frc758",13.279914678587
"frc610",10.4836585987553
"frc865",5.59147333452057
"frc891",8.06383205389777
"frc222",9.05602159425109
"frc773",16.0963657350892
"frc849",9.23236877018073
"frc783",18.3447594884986
"frc912",15.9387079461228
"frc772",21.4944205778158
"frc913",9.44410103369526
"frc296",20.8977015464504
"frc776",10.5654191476312
"frc919",9.09209225178122
"frc907",14.3834932031853
"frc843",14.4239924131705
"frc641",18.6187135869079
"frc771",16.6147437198357
"frc886",19.8160276539977
"frc897",13.4413791387133
"frc918",19.8225569576054
"frc63",9.84412224054172
"frc820",17.0682222793918
"frc917",19.2741126112447
"frc854",10.8578220985116
"frc914",17.9826347539823
"frc915",13.8155175338874
"frc863",12.5762668715987
"frc643",13.7446375295384
"frc122",16.0848161594158
"frc484",9.97103474379519
"frc433",20.8126499245421
"frc834",7.18637832114729
"frc225",12.3772551908707
"frc651",8.09711545612882
"frc316",16.9078149082908
"frc419",12.9660313045035
"frc300",18.8470751285646
"frc920",8.23493594578959
"frc444",14.9640409436603
"frc565",14.3655478131363
"frc87",17.710261749857
"frc708",22.2942712394881
"frc802",13.0892080173832
"frc357",13.4231058713204
"frc204",15.776246080418
"frc561",20.4487981369112
"frc367",19.5000373242343
"frc816",17.3222726659067
"frc612",14.2633236506469
"frc486",13.9149918262945
"frc304",15.3267321804499
"frc709",16.488875309304
"frc563",15.2626102133956
"frc487",17.4387048293148
"frc528",11.3424907969724
"frc272",13.0359006008296
"frc618",15.0712910057435
"frc104",10.7887085177664
"frc115",7.62519280677584
"frc298",14.9707731797549
"frc409",6.13093438937104
"frc973",17.1968145195799
"frc8",12.0186768868617
"frc100",8.28188313743077
"frc190",15.1898024325278
"frc852",15.6703327086836
"frc581",6.18078009058654
"frc751",11.3984835016395
"frc480",15.4447257116763
"frc675",13.5278200375064
"frc827",12.5649673129556
"frc840",14.5248722810994
"frc258",20.3904295342513
"frc831",13.7579973576689
"frc481",10.6701491437068
"frc192",11.1603705562446
"frc692",6.57983839844558
"frc632",14.5537010478797
"frc636",13.4773492053111
"frc814",11.4580126631383
"frc645",15.708112075458
"frc253",13.6068634993494
"frc668",14.8090632356178
"frc649",16.9967184777684
"frc971",19.5914196511882
"frc846",16.5695991760437
"frc766",12.888971112175
"frc605",11.0834200008695
"frc841",18.2301950411546
"frc255",17.9919388702288
"frc604",16.008331712857
"frc972",10.8736055572101
"frc359",10.5024510330634
"frc457",3.93779484055011
"frc456",11.8995118750214
"frc607",19.9550649287307
"frc922",12.3753960240999
"frc624",13.6042545575148
"frc704",10.4305041285434
"frc635",14.6333213542783
"frc437",9.5517872465414
"frc446",9.99812880237607
"frc899",16.5594490242187
"frc908",12.464488549421
"frc653",9.7927364712323
"frc659",9.10830700475138
"frc660",12.6270259118179
"frc750",14.2849899786868
"frc148",6.14095236988918
"frc215",16.6468534743804
"frc644",13.3144644928412
"frc231",12.7725838037066
"frc647",18.7777953215285
"frc364",15.1766362418275
"frc418",12.0827223415448
"frc434",15.577804155023
"frc438",17.2773661887226
"frc441",12.7588305035118
"frc442",17.3824888085999
"frc499",15.4057883132191
"frc513",13.157927803944
"frc590",17.5946488971697
"frc623",13.7482016464485
"frc686",12.6547266410472
"frc926",9.55716856369166
"frc602",9.60277520366107
"frc927",9.90816628492182
"frc615",10.3270996624682
"frc977",16.0140112408134
"frc405",11.3895668128316
"frc928",15.5541277008524
"frc616",5.27282436838104
"frc346",16.2802512183449
"frc401",13.8725261021446
"frc587",19.4276967636188
"frc435",21.3452852474375
"frc845",12.5999856912828
"frc449",17.2363764580209
"frc900",16.8206522829091
"frc617",13.4701229656374
"frc768",12.5749022224265
"frc619",15.1897838609447
"frc837",16.0537465913149
"frc620",11.064958945328
"frc825",15.9395109488427
"frc622",13.2575200837631
"frc975",16.8787280114574
"frc614",15.3554067217955
"frc836",13.4833289345135
"frc905",11.1041624835279
"frc611",9.1834483890905
"frc497",17.8409926297755
"frc510",15.6883019416587
"frc337",8.20871709335526
"frc404",12.0862621185767
"frc53",14.954410054356
"frc539",6.70816466627718
"frc345",15.0101156873164
"frc414",7.96638863661417
