"","DPR"
"frc58",7.56702071653586
"frc155",15.7198280957214
"frc999",17.5099937794604
"frc69",6.18246509040663
"frc176",12.7478297001847
"frc121",11.4076493336442
"frc596",15.0751299170486
"frc558",22.1704865038811
"frc97",15.9117242910418
"frc125",14.0421107483418
"frc157",15.1133244861644
"frc181",17.7613644521736
"frc186",8.50849704288594
"frc343",9.80436398537812
"frc105",16.1635416092027
"frc278",16.479205633357
"frc393",17.2767868905965
"frc804",10.8807342136892
"frc179",14.3543462000081
"frc57",7.89678863391287
"frc411",20.0983105456044
"frc61",5.44909576632334
"frc79",12.8213370701465
"frc415",16.1539047396956
"frc59",14.1429574210586
"frc588",20.0651781766853
"frc408",23.0975748549972
"frc685",17.8542641748165
"frc866",24.803553720974
"frc582",20.0418651930043
"frc801",16.5020988354671
"frc780",13.9093430292448
"frc342",12.2019573954286
"frc168",11.8158817513078
"frc395",11.7121281134212
"frc946",15.0319382479633
"frc386",17.6680353645474
"frc654",11.5624717113635
"frc665",12.157646250339
"frc832",15.703065083517
"frc267",6.94491213774765
"frc901",11.9146653444883
"frc945",13.5380325906992
"frc86",19.0525776219931
"frc547",14.9700092782197
"frc710",17.8658080683618
"frc459",24.6750644527834
"frc21",13.2223203201166
"frc108",9.48447043179343
"frc690",25.5537131506538
"frc507",12.7991584033211
"frc212",15.0267868429126
"frc947",15.1994361172265
"frc147",10.9735750062046
"frc312",4.48519351031726
"frc538",13.8064796080651
"frc247",7.85844697537785
"frc68",6.64052721490303
"frc274",14.6385892817322
"frc440",13.6769926414137
"frc279",9.92093926413711
"frc910",11.0728802619786
"frc33",10.7973317439321
"frc302",6.11094082218121
"frc1",7.40260281471969
"frc560",9.60696102167022
"frc249",13.9481469913289
"frc245",12.1470207866492
"frc557",19.0469261204222
"frc326",18.3172181285806
"frc280",15.4554030685411
"frc184",19.5932244600845
"frc453",22.6416719901553
"frc862",15.9538572344038
"frc65",14.1283790775899
"frc292",17.6965528308606
"frc903",14.3471045144899
"frc47",14.2039439325492
"frc703",14.7025093362479
"frc548",10.354555142209
"frc468",29.981168942957
"frc5",18.2632479641443
"frc111",10.9563008331373
"frc301",18.6241973057202
"frc182",16.7759825819361
"frc515",17.980751931654
"frc471",16.3118574439193
"frc451",23.5041250605863
"frc815",14.7533173893043
"frc830",21.0497835765557
"frc902",11.8521780321474
"frc379",15.2705567267044
"frc226",18.6527547176306
"frc573",14.1904674561358
"frc835",15.8355022025353
"frc94",14.5331865882154
"frc217",20.5320164748978
"frc67",13.6896024175849
"frc406",5.00039539394638
"frc188",9.35920117490697
"frc494",16.3898855640333
"frc314",11.9277186798517
"frc313",16.4342822445538
"frc894",14.7005689940379
"frc822",18.6479444393396
"frc469",-0.631782051826966
"frc503",17.3091226343133
"frc240",10.318068884546
"frc818",16.5864805879794
"frc322",7.6873442335193
"frc397",14.0678690583388
"frc49",16.7181359128813
"frc470",17.4222078680185
"frc123",11.7880717427938
"frc519",11.4495170849675
"frc658",19.2071980368118
"frc107",12.5946369866852
"frc868",17.2848931245836
"frc70",19.0777164400735
"frc461",13.2192381382496
"frc648",14.141625711118
"frc167",14.7104946748914
"frc554",18.518840548399
"frc85",15.3855890384919
"frc858",12.3896864218517
"frc235",10.6569827345032
"frc930",15.7420887396433
"frc857",17.3847109203829
"frc6",12.2763828270369
"frc93",7.19499900346269
"frc109",13.4467352422765
"frc101",20.1899264724966
"frc269",18.242507546213
"frc141",20.9861919812449
"frc201",7.85590273072227
"frc45",8.59604961218554
"frc391",13.5518171846244
"frc447",13.8521638093783
"frc664",16.2354753933804
"frc754",16.3004391762922
"frc112",17.0803809221605
"frc10",20.5001905085478
"frc135",12.749992795352
"frc677",8.36053695291988
"frc706",15.6504128500374
"frc537",20.1003446728013
"frc92",6.15996196718792
"frc9",10.7017125971951
"frc74",18.6012452367423
"frc224",14.9901939732702
"frc545",10.1717319617898
"frc358",4.23073809470019
"frc56",15.9506342839714
"frc870",13.7276517661865
"frc569",12.0686545470027
"frc263",11.249075335076
"frc533",18.11386504459
"frc417",11.1990435916946
"frc601",10.8096998903432
"frc564",17.224363629432
"frc502",22.3353943204098
"frc884",18.3821638386156
"frc352",18.8280057462893
"frc506",17.7821638386156
"frc270",13.228626873523
"frc136",16.7889397435998
"frc871",21.9353943204098
"frc341",12.289770986957
"frc570",16.4978978640401
"frc496",10.8833779157911
"frc30",10.7394421599549
"frc329",16.2169928652279
"frc381",16.4558330911399
"frc353",9.92241146333951
"frc28",9.32330265806294
"frc889",12.1059782237895
"frc514",14.3224114633395
"frc810",12.5893420211132
"frc27",10.0225139310821
"frc808",16.0676229767588
"frc904",17.8076646575326
"frc288",18.9497504550133
"frc518",12.7681559184903
"frc535",18.7473253803236
"frc888",13.4904827796844
