"","CCWM"
"frc131",-2.59301514703845
"frc809",-8.79907851501485
"frc984",-14.1863752986956
"frc394",-7.61266005529865
"frc145",3.20667274850845
"frc293",5.40287832429247
"frc811",0.481583704431866
"frc213",8.25828048456682
"frc546",-1.08039172674531
"frc40",-15.63059567723
"frc133",4.85111065748858
"frc782",4.17981640111464
"frc228",-4.00675270652023
"frc467",2.97984522620064
"frc562",8.21372815061281
"frc166",1.77952415310573
"frc177",-5.99869791931632
"frc246",-8.69069945694436
"frc42",4.54129905254351
"frc500",-21.1093586575925
"frc134",2.5916462277853
"frc238",7.13475704855077
"frc521",1.76201490101429
"frc250",-3.92152045572269
"frc58",14.3130240882233
"frc155",-8.50907816862953
"frc999",-6.53463113995185
"frc69",16.2564508589994
"frc176",1.86254559993329
"frc121",8.18388774191684
"frc596",-5.16411071999774
"frc558",-7.15940341724221
"frc97",-2.00595625800982
"frc125",-0.113069666355761
"frc157",3.376218691458
"frc181",-1.93280578553205
"frc186",2.17468155087028
"frc343",-0.779728574132402
"frc105",-4.35376916445948
"frc278",-0.361331486925483
"frc393",-9.45529217259888
"frc804",6.71763856522354
"frc179",-4.38287320244913
"frc57",6.49677596058473
"frc411",-2.96012051499273
"frc61",3.68285065556617
"frc79",0.879750062267957
"frc415",-4.90635510339385
"frc59",-6.08744801573157
"frc588",-4.3042090489064
"frc408",-12.0150909983817
"frc685",-1.01492360558304
"frc866",-14.2276148150299
"frc582",-13.9728852509223
"frc801",-5.3098054962867
"frc780",10.8848351412379
"frc342",-0.309390911167331
"frc168",0.814393091512981
"frc395",3.43564945318022
"frc946",0.892073282863997
"frc386",-2.97807172387547
"frc654",6.51698537932837
"frc665",1.57963744987381
"frc832",-3.71786784208279
"frc267",8.61992535171822
"frc901",1.43271772376868
"frc945",4.53900963398288
"frc86",-2.63709369987313
"frc547",-3.0419451494172
"frc710",1.79143532042756
"frc459",-11.2222269891909
"frc21",2.60449740008959
"frc108",5.81074477937698
"frc690",-12.9054476603503
"frc507",-6.01768793201951
"frc212",-3.70623982907609
"frc947",2.79744438442111
"frc147",14.6065455321806
"frc312",6.03770516017241
"frc538",-1.70561684640849
"frc247",2.74338164667357
"frc68",6.31525544517571
"frc274",-2.04435091007995
"frc440",5.90624943774163
"frc279",-0.922930621976018
"frc910",-0.608420511801098
"frc33",2.32697571836697
"frc302",1.11928815038084
"frc1",2.06984075883271
"frc560",8.81250484278835
"frc249",-2.95649033380012
"frc245",-3.24991138070057
"frc557",-0.577207898664376
"frc326",-10.18370018109
"frc280",6.63390318835748
"frc184",-4.04408243153759
"frc453",-9.14268476709506
"frc862",-2.63397630330882
"frc65",1.94866969294975
"frc292",-4.2259623615381
"frc903",-0.198770938965298
"frc47",2.49361678204296
"frc703",-1.29171759299458
"frc548",2.01770720293599
"frc468",-21.6302675547142
"frc5",-6.63672960657713
"frc111",2.89162062025252
"frc301",-2.59130007835622
"frc182",-5.59609341409065
"frc515",-2.60960487968532
"frc471",-0.893108892131075
"frc451",-6.35525726267231
"frc815",-1.71203310970519
"frc830",-6.18179626665214
"frc902",5.02145977923524
"frc379",2.42641817414782
"frc226",-1.8637069551455
"frc573",0.49016958956774
"frc835",4.4127895187897
"frc94",-2.41859891354319
"frc217",-6.06638063626397
"frc67",0.871975025317333
"frc406",1.8924049305501
"frc188",2.21129393038581
"frc494",0.718717629174925
"frc314",1.64205627488358
"frc313",2.11501345477373
"frc894",10.119114911567
"frc822",-8.8514701187035
"frc469",9.11350321136115
"frc503",-5.49637970387741
"frc240",2.27182084317095
"frc818",-2.3359680810854
"frc322",1.16608065380439
"frc397",-2.45332256694968
"frc49",0.900713677281608
"frc470",-0.899351962659651
"frc123",-2.60565846748264
"frc519",2.2333524461794
"frc658",-7.0748086670049
"frc107",4.23696243275903
"frc868",-4.78298477991349
"frc70",-7.39738847672721
"frc461",0.536220117487337
"frc648",-1.61672417400104
"frc167",-8.06426695875201
"frc554",-4.68774351497591
"frc85",-4.35246841052986
"frc858",-1.89799627296752
"frc235",-0.683686945699234
"frc930",-5.60319348857312
"frc857",1.19632499174111
"frc6",3.24336388124782
"frc93",5.86409944919674
"frc109",2.85419783877988
"frc101",-6.72008228292819
"frc269",-2.71890910859169
"frc141",-2.98983229106058
"frc201",-3.02330338706631
"frc45",6.97728792305578
"frc391",7.4211258408185
"frc447",-0.332764184443473
"frc664",0.536576110190484
"frc754",-2.40272285316385
"frc112",-0.0191100702681481
"frc10",0.194441612187852
"frc135",3.05900345585362
"frc677",-2.40893787147806
"frc706",2.51493781296004
"frc537",-7.0614067930689
"frc92",5.05036501870374
"frc9",4.97983445521798
